timestamp,language,language_confidence,vad_utterance_seconds,whisper_ms,total_latency_ms,transcript
2026-09-06T18:41:59,en,0.46,2.62,1601,1604,Hello.
2026-09-06T18:42:13,de,0.56,7.28,4113,4122,Ich bin mit der Eventspieler.
2026-09-06T18:42:16,en,0.60,1.37,1739,1741,Thank you very much.
2026-09-06T18:42:53,el,0.16,16.04,15713,15726,"Ενιλικά μπορείς να γίνονται οπτυγή της δηλαδήstellου να τα ζωίτε. Ενείς γιατί δεν θα δείξει πολλοί. Κι φοίλες που σαν παρήχοι, θα πρωθέρια είναι να βοηθώ μόνος. Θα μάλλαγε η άντε του Ανήρια."
2026-09-06T19:12:20,en,0.35,1.89,1312,1316,Hello? Hello?
2026-09-06T19:12:23,en,0.34,0.90,2289,2291,Thank you.
2026-09-06T19:12:40,hi,0.18,1.40,15519,15523,रासे द्र द्वार्णिवाण।
2026-09-06T19:12:46,el,0.16,2.54,1529,1533,Πρακέρια!
2026-09-06T19:13:08,hi,0.36,2.07,19863,19866,"Hemat Satin, Fujiya Harikelsu dhu dhu dhu dhu dhu dhu dhu"
2026-09-06T19:13:10,en,0.49,0.23,1402,1403,Thank you very much.
2026-09-06T19:13:40,en,0.58,0.10,1673,1674,Thank you.
2026-09-06T19:14:23,hi,0.40,20.20,22498,22532,-> कर节larda stellen ये कर खी जीिज हो ले ची अदंचे कु? -> कि अचि कर खो द़िग अच चेः बहिब पहित कु? ->को हैफ़ किर जेख खी उग़ दिएग बहिफ़ुपाचे कि उदू नहीं कु? -> लिध हो इेफूफाबु。 -> अबाफ़ु़ु़ू लहीं कु? -> लहीं कु?
2026-09-06T19:14:26,en,0.63,1.17,1684,1688,I'm back with no-
2026-09-06T19:14:31,en,0.71,1.74,1618,1625,Maybe it was fun.
2026-09-06T19:14:41,hi,0.63,4.60,5354,5359,This perverse audio r has potential for that one.
2026-09-06T19:15:01,hi,0.63,2.51,17124,17131,नक्र के जो भ़राएस को पाडिरास को प्डिन्तिंकमे बेना हैं।
2026-09-06T19:15:55,hi,0.49,13.05,41071,41089,bhojariGR alik grateful be afraid to do that be afraid to do that
2026-09-06T19:16:05,en,0.27,1.76,3843,3848,Thank you very much.
2026-09-06T19:16:27,en,0.80,1.15,1589,1593,Have a good time.
2026-09-06T19:16:48,hi,0.27,2.53,11623,11631,यूके ती लाये ले यहाओराणे को धे वो ले विडाः
2026-09-06T19:17:28,en,0.20,3.44,3361,3367,"Get out of my mouth, please, and get out of my mouth."
2026-09-06T19:18:22,hi,0.48,4.69,16873,16880,"घिग वसे प्रसए मोल जेप मिसे प्रहोहिवी तषे के कि प़शेस अवप Each भर apart, i am believing today."
2026-09-06T19:27:58,en,0.33,0.93,1250,1251,Hello.
2026-09-06T19:28:03,en,0.37,0.71,1276,1279,Yeah.
2026-09-06T19:28:09,en,0.63,0.96,2491,2493,Let's start this
2026-09-06T19:30:03,en,0.85,5.64,1492,1501,"I don't know how long it's going to take for me to see who's the best, I don't know who's the best, I don't know who's the best"
2026-09-06T19:30:26,hi,0.25,2.14,18585,18589,जैनें बय कूने घह कूने फंारे कासरुएंिय
2026-09-06T19:30:47,es,0.38,7.77,1483,1495,¡Suscríbete! ¡Halo! ¡Halo!
2026-09-06T19:30:54,en,0.71,3.01,1374,1377,Nettles! Nettles!
2026-09-06T19:31:01,de,0.17,4.16,3217,3224,Hallo!
2026-09-06T19:31:09,en,0.82,2.27,3936,3939,"A lot of them, a lot of them. Thank you, ladies."
2026-09-06T19:31:23,en,0.77,0.11,2487,2488,Thank you very much.
2026-09-06T19:31:26,en,0.72,0.68,2597,2599,Thank you.
2026-09-06T19:31:38,es,0.34,5.27,4772,4785,en el sector de la hora de comer a la poncho.
2026-09-06T19:31:44,en,0.70,2.85,3128,3133,Maybe what you all can work on is your own.
2026-09-06T19:31:45,en,0.48,0.37,1248,1249,You
2026-09-06T19:31:52,en,0.25,1.19,1270,1272,Hello!
2026-09-06T19:31:57,es,0.26,1.78,2933,2935,que siempre me relajaste.
